distance_km,traffic_level,weather,time_of_day,road_type,fuel_cost,scenic_score,safety_score,travel_time_min
8,medium,foggy,afternoon,local,9.6,0.6993847198857521,0.5102167170098356,37.416483797280335
33,low,foggy,night,arterial,36.300000000000004,0.6407700117342692,0.6979832271861636,52.559091072479454
33,medium,foggy,morning,local,39.6,0.7485962078786557,0.5191452051633536,80.3127469309569
47,medium,rainy,afternoon,local,56.4,0.8592103563792911,0.6101042637671621,125.88877225632187
35,medium,sunny,afternoon,local,42.0,0.7954855280146633,0.8246718109156943,72.48002068058146
19,medium,rainy,afternoon,local,22.8,0.9019898983033632,0.6454645461782287,46.11786859791089
38,low,foggy,evening,highway,41.800000000000004,0.4526028974131198,0.6665813822199799,68.43725226788524
8,low,foggy,afternoon,local,8.8,0.8663290267473712,0.6927615414067344,20.11909093101393
27,medium,foggy,morning,arterial,32.4,0.5137743062062846,0.6108967430734482,66.34376826796628
12,medium,rainy,night,local,14.399999999999999,0.8769188869907661,0.5622740949555467,19.331180126265433
49,low,foggy,evening,arterial,53.900000000000006,0.46540252529624493,0.7145586934023822,93.103325988004
6,high,sunny,morning,local,7.800000000000001,0.8830643092542175,0.7017942036272355,14.323831240012245
36,low,sunny,afternoon,arterial,39.6,0.6454876956281442,1.0,50.91740120737991
30,medium,foggy,morning,local,36.0,0.7600428221950091,0.5051875440607175,81.58607980056347
45,low,rainy,night,arterial,49.50000000000001,0.6061441898774651,0.7975041214007974,55.80034367029392
23,high,sunny,night,arterial,29.900000000000002,0.4090189012348917,0.6205568915710628,43.39217773410937
4,medium,sunny,morning,local,4.8,0.7671654176416884,0.8346219661104304,5.0
4,high,sunny,night,local,5.2,0.8549774087805402,0.5382967630510636,16.447276233448985
34,low,sunny,night,local,37.400000000000006,0.821270973735746,1.0,31.24459599941974
29,medium,rainy,night,arterial,34.8,0.6677211287623003,0.7024252591300909,51.65895088076966
31,low,sunny,morning,highway,34.1,0.3904637961301711,0.9951369523383526,36.25451073887416
8,medium,rainy,night,arterial,9.6,0.589960522542582,0.4922773571335665,12.332807666676135
24,medium,foggy,afternoon,highway,28.799999999999997,0.5383952485080832,0.48514874638066113,81.54237228267212
43,low,sunny,evening,highway,47.300000000000004,0.35421617925258053,1.0,49.66762950558048
8,high,foggy,evening,local,10.4,0.9394630671717338,0.21340723866618988,24.67514746483407
44,high,foggy,afternoon,highway,57.2,0.16520906804937155,0.1769310292175345,176.40833454555326
2,low,sunny,morning,highway,2.2,0.3128221837694519,0.9959190007273927,5.0
18,high,sunny,morning,highway,23.400000000000002,0.3449997900130407,0.5982439789426046,33.09685662063827
41,medium,sunny,night,arterial,49.199999999999996,0.516840030122973,0.8707330801544189,61.69039506235273
2,medium,rainy,afternoon,local,2.4,0.5881964156804389,0.6076157051893203,5.0
31,high,sunny,morning,arterial,40.300000000000004,0.5689413182291978,0.6365226531339855,65.70255685991074
48,low,rainy,evening,arterial,52.800000000000004,0.481916395160493,0.7848091441348602,78.1303010991702
13,low,sunny,morning,highway,14.3,0.37827019929586775,1.0,11.767906085017698
10,medium,foggy,evening,arterial,12.0,0.6651455361904718,0.4441524692670388,18.52623239287169
23,medium,sunny,night,highway,27.599999999999998,0.21468610354743295,0.866994093410457,33.70749290479947
5,medium,foggy,morning,local,6.0,0.9276298549477665,0.5012975169786549,5.0
17,low,foggy,evening,local,18.700000000000003,0.7556456894310197,0.6807203725171379,29.90143546362566
7,high,rainy,night,arterial,9.1,0.4892547808419332,0.4230122119532286,22.743018226465026
1,medium,foggy,afternoon,highway,1.2,0.4682656036067847,0.4965265650579596,5.0
20,medium,sunny,morning,arterial,24.0,0.5617813972366396,0.8252084444261277,36.1231769536217
34,medium,rainy,evening,local,40.8,0.8149042970398036,0.5279164013998775,75.98694411509311
22,medium,foggy,evening,arterial,26.4,0.45196844733774266,0.44658979311230984,66.924251027593
44,low,sunny,morning,arterial,48.400000000000006,0.551121119479986,1.0,55.516610716209094
4,low,sunny,afternoon,highway,4.4,0.16253227965308936,1.0,5.0
40,low,rainy,afternoon,local,44.0,0.8297045527175633,0.8105540322840229,76.02131871250819
36,low,sunny,evening,highway,39.6,0.34468534956645225,0.9205249393820508,43.14113683810858
31,low,sunny,night,highway,34.1,0.39939089427499475,0.98737714232355,23.605206524929194
40,high,foggy,afternoon,highway,52.0,0.32373305122110907,0.35514869378534136,156.46845620515174
39,low,rainy,evening,local,42.900000000000006,0.694812400894466,0.8248803772968525,67.40292820947369
24,high,rainy,afternoon,local,31.200000000000003,0.8999907776380263,0.44603399791165066,80.85745675614152
23,high,rainy,night,local,29.900000000000002,0.7583851115159083,0.3132770140707985,44.58331706099219
20,low,rainy,morning,arterial,22.0,0.5327942529426767,0.7590854853572842,23.41897372921494
24,medium,foggy,night,arterial,28.799999999999997,0.6030240745103244,0.3921686117004222,49.26590736289439
30,low,rainy,afternoon,highway,33.0,0.26692190419322526,0.7891500128350353,47.94646314376116
13,low,sunny,afternoon,arterial,14.3,0.3898683263467109,0.9849985465001371,20.072679726754163
25,medium,foggy,night,arterial,30.0,0.636563128674586,0.5012053139286877,56.20589731304804
39,low,foggy,evening,local,42.900000000000006,0.8215411972231992,0.7129060451881997,87.22589875068687
17,high,sunny,afternoon,highway,22.1,0.40685351841124534,0.6506889466343313,44.65508453033438
38,low,sunny,morning,highway,41.800000000000004,0.29570847437273945,0.9617249314759916,47.77496695160585
36,medium,foggy,evening,arterial,43.199999999999996,0.5910556141402865,0.5147841854305282,102.2207198446635
41,medium,foggy,evening,local,49.199999999999996,0.7537194534394983,0.5009797025952106,118.02114504045842
21,medium,sunny,morning,highway,25.2,0.39062105742593783,0.790297193083169,29.718164527425195
23,high,rainy,afternoon,local,29.900000000000002,0.6897388751169932,0.36187469712371323,79.31228233570938
43,low,foggy,morning,local,47.300000000000004,0.8400215156932189,0.7084445782002826,68.86971161467835
39,medium,foggy,morning,local,46.8,0.9254707950607963,0.594231337286687,97.75522965575927
41,medium,sunny,evening,arterial,49.199999999999996,0.6126148338827745,0.8019768754629599,73.10727082364646
20,medium,foggy,afternoon,highway,24.0,0.3285027737139222,0.6027370452533753,58.756911880335274
15,high,sunny,afternoon,highway,19.5,0.4802659636414748,0.508144243562668,42.02210886403228
39,medium,sunny,evening,arterial,46.8,0.5527707572341201,0.7524424654402003,67.9717738990743
18,low,foggy,afternoon,arterial,19.8,0.41904243564762605,0.7807024469670977,32.4669022481263
45,low,foggy,evening,arterial,49.50000000000001,0.4230472919375405,0.716234430938706,85.01256929824677
15,medium,rainy,afternoon,local,18.0,0.7053577273972466,0.5877838956559469,35.22083342215785
48,high,foggy,morning,arterial,62.400000000000006,0.5725002047873212,0.2453565133974253,172.87442900192838
43,medium,foggy,morning,highway,51.6,0.29054070386817765,0.526940063664779,106.58116359559732
37,high,foggy,morning,arterial,48.1,0.5500727286817568,0.22722906984657643,128.6359655839979
3,high,sunny,morning,highway,3.9000000000000004,0.3148101015275831,0.5713518289329991,5.0
3,medium,foggy,morning,highway,3.5999999999999996,0.3482349650955937,0.5085411398347923,12.504572144589858
47,medium,rainy,night,highway,56.4,0.4488056017913833,0.5739073178524354,82.7717566164551
17,high,sunny,morning,arterial,22.1,0.5184605247420008,0.5656551351018828,34.522132246831404
34,medium,foggy,morning,arterial,40.8,0.45263727295925693,0.49887264886005195,93.1924930111292
11,high,foggy,afternoon,local,14.3,0.8159112298501057,0.38198915807617173,47.53350271106826
19,medium,rainy,night,highway,22.8,0.23823415252471009,0.5840181596393287,39.622040288964584
